name	id	cuisine	ingredients	type_of_dish1	recipes
Bánh cáy	/m/03cycht	Vietnamese			
Tonic And Tequila	/m/0404hf5		Tequila,Tonic water		
Coppia Ferrarese	/m/03md8v9	Italian			
Greek salad	/m/04059x	Greek	Onion,Olive oil,Oregano,Tomato,Cucumber	Salad	
Bread and butter pudding	/m/0422m1	British Cuisine			
Arrabbiata sauce	/m/06zx72	Italian			
Kare-kare	/m/079pwk	Filipino	Oxtail,Tripe	Stew	
Krupnik	/m/06vk46	Polish			
Putu Mayam	/m/06jbtx	Singaporean cuisine			
Mock turtle soup	/m/06gh9k				
Tosino	/m/026c707	Filipino			
Verrine	/m/02vxl2d	French			
Asocena	/m/027hbgx	Filipino			
Angus Burger	/m/027wqvm				
Espasol	/m/02vqsy7	Filipino			
Mirepoix	/m/01l02z	French			
Kraft Dinner	/m/01r_qv	Italian			
Mugicha	/m/0745ww	Japanese Cuisine			
Ban mian	/m/07_1h6	Singaporean cuisine			
Ararat	/m/078hy2	Armenian			
Gimlet	/m/085kgv		Lime Juice,Gin,Vodka	Drink,Cocktail	Gimlet
Sambusac	/m/0cmpv0	Jewish cuisine			
Doppio	/m/08rx0_	Italian			
Unagi	/m/08zj5m	Japanese Cuisine			
Biscotti di Regina	/m/09v3pl5	Italian			
Italian dressing	/m/09q84z		Extra virgin olive oil		
